Komodita;Symbol;Burza;Url;TypyKontraktov;StartRok;EndRok;UrlCon;Kategoria;HodnotaBod;VelkostTicku
Wheat;W;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;H,K,N,U,Z;1960;2016-N;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_W1.xml;Grains;50;0,25
Soybean Meal;SM;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,H,K,N,Q,U,V,Z;1960-V;2016;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_SM1.xml;Grains;100;0,1
Soybeans;S;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,H,K,N,Q,U,X;1970;2016;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_S1.xml;Grains;50;0,25
Corn;C;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;H,K,N,U,Z;1970;2016;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_C1.xml;Grains;50;0,25
Soybean Oil;BO;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,H,K,N,Q,U,V,Z;1962;2016;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_BO1.xml;Grains;600;0,01
Gasoline;RB;NYMEX;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,G,H,J,K,M,N,Q,U,V,X,Z;2006;2016;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_RB1.xml;Energy;42000;0,0001
Natural Gas;NG;NYMEX;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,G,H,J,K,M,N,Q,U,V,X,Z;1991;2025;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_NG1.xml;Energy;10000;0,001
WTI Crude Oil;CL;NYMEX;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,G,H,J,K,M,N,Q,U,V,X,Z;1991;2020;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_CL1.xml;Energy;1000;0,01
Brent Crude Oil;QA;NYMEX;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,G,H,J,K,M,N,Q,U,V,X,Z;1991;2020;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_QA1.xml;Energy;1000;0,01
Lean Hogs;LN;CME;https://www.quandl.com/api/v1/datasets/CME/{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;G,J,K,M,N,Q,V,Z;1970;2015;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_LN1.xml;Meats;400;0,025
Live Cattle;LC;CME;https://www.quandl.com/api/v1/datasets/CME/{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;G,J,M,Q,V,Z;1965-G;2015-Q;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_LC1.xml;Meats;400;0,025
Feeder Cattle;FC;CME;https://www.quandl.com/api/v1/datasets/CME/{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,H,J,K,Q,U,V,X;1981-H;2015-U;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_FC1.xml;Meats;500;0,025
ICE Heating Oil;HO;NYMEX;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;F,G,H,J,K,M,N,Q,U,V,X,Z;2006-K;2020;http://www.quandl.com/api/v1/datasets/CHRIS/ICE_O1.xml;Energy;42000;0,0001
10-year Treasury Note;TY;CBOT;http://www.quandl.com/api/v1/datasets/CME/{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;H,M,U,Z;1980;2015-H;http://www.quandl.com/api/v1/datasets/CHRIS/CME_TY1.xml;Finance;1000;0,02
2-year Treasury Note;TU;CBOT;http://www.quandl.com/api/v1/datasets/CME/{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;H,M,U,Z;1980;2015-H;http://www.quandl.com/api/v1/datasets/CHRIS/CME_TU1.xml;Finance;2000;0,02
30-year Treasury Bond;US;CBOT;http://www.quandl.com/api/v1/datasets/CME/{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;H,M,U,Z;1980;2015-H;http://www.quandl.com/api/v1/datasets/CHRIS/CME_US1.xml;Finance;1000;0,02
5-year Treasury Note;FV;CBOT;http://www.quandl.com/api/v1/datasets/CME/{0}{1}{2}.xml?auth_token=UqHLDQVcxZy5AknRTZX9;H,M,U,Z;1980;2015-H;http://www.quandl.com/api/v1/datasets/CHRIS/CME_FV1.xml;Finance;1000;0,02
