Symbol;Popis;Burza;Url
WH2015;Wheat Futures, March 2015, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2015.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2015;Wheat Futures, May 2015, WK2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2015.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2015;Wheat Futures, July 2015, WN2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2015.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2015;Wheat Futures, September 2015, WU2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2015.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2015;Wheat Futures, December 2015, WZ2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2015.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WH2014;Wheat Futures, March 2014, WH2015, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WH2014.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WK2014;Wheat Futures, May 2014, WK2014, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WK2014.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WN2014;Wheat Futures, July 2014, WN2014, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WN2014.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WU2014;Wheat Futures, September 2014, WU2014, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WU2014.xml?auth_token=UqHLDQVcxZy5AknRTZX9
WZ2014;Wheat Futures, December 2014, WZ2014, CBOT;CBOT;http://www.quandl.com/api/v1/datasets/OFDP/FUTURE_WZ2014.xml?auth_token=UqHLDQVcxZy5AknRTZX9
